Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-06T10:37:53.172Z","Included","gemini-3-flash","No","0","10587","0","727","11314","0.01"
"2026-01-06T10:32:30.443Z","Included","gemini-3-flash","No","0","25039","38984","1369","65392","0.02"
"2026-01-06T10:29:59.165Z","Included","gemini-3-flash-preview","No","0","13181","121573","467","135221","0.01"
"2026-01-06T10:27:43.146Z","Included","gemini-3-flash-preview","No","0","76974","314134","9332","400440","0.08"
"2026-01-06T10:26:44.783Z","Included","gemini-3-flash-preview","No","0","61618","83971","7335","152924","0.06"
"2026-01-06T10:26:39.268Z","Included","gemini-3-flash-preview","No","0","10032","117424","126","127582","0.01"
"2026-01-06T10:23:39.512Z","Included","gemini-3-flash","No","0","41276","52161","977","94414","0.03"
"2026-01-06T10:23:27.601Z","Included","gemini-3-flash-preview","No","0","85053","836042","4400","925495","0.10"
"2026-01-06T10:22:26.452Z","Included","gemini-3-flash-preview","No","0","1067","95989","87","97143","0.01"
"2026-01-06T10:21:50.895Z","Included","gemini-3-flash-preview","No","0","28991","52528","663","82182","0.02"
"2026-01-06T10:20:30.614Z","Included","gemini-3-flash","No","0","4705","12841","248","17794","0.004"
"2026-01-06T10:19:56.450Z","Included","gemini-3-flash","No","0","48538","59776","2836","111150","0.04"
"2026-01-06T10:18:27.123Z","Included","gemini-3-flash","No","0","47913","219143","6757","273813","0.06"
"2026-01-06T10:16:37.700Z","Included","gemini-3-flash-preview","No","0","69232","385875","5861","460968","0.07"
"2026-01-06T10:16:31.121Z","Included","gemini-3-flash","No","0","15942","16903","263","33108","0.01"
"2026-01-06T10:15:40.494Z","Included","gemini-3-flash-preview","No","0","71305","517440","2737","591482","0.07"
"2026-01-06T10:02:10.125Z","Included","gemini-3-flash-preview","No","0","11737","377268","619","389624","0.03"
"2026-01-06T10:01:26.825Z","Included","gemini-3-flash-preview","No","0","20460","551801","2474","574735","0.05"
"2026-01-06T10:01:16.151Z","Included","gemini-3-flash-preview","No","0","49967","134877","2739","187583","0.04"
"2026-01-06T10:00:29.890Z","Included","gemini-3-flash-preview","No","0","94644","640389","3049","738082","0.09"
"2026-01-06T10:00:24.430Z","Included","gemini-3-flash","No","0","61152","440597","4559","506308","0.07"
"2026-01-06T09:59:21.387Z","Included","gemini-3-flash-preview","No","0","97558","527514","5933","631005","0.09"
"2026-01-06T09:58:05.086Z","Included","gemini-3-flash","No","0","2546","6510","3018","12074","0.01"
"2026-01-06T09:58:03.014Z","Included","gemini-3-flash-preview","No","0","15070","23305","313","38688","0.01"
"2026-01-06T09:57:46.455Z","Included","gemini-3-flash","No","0","9610","0","2440","12050","0.01"
"2026-01-06T09:57:27.091Z","Included","gemini-3-flash","No","0","9351","0","2370","11721","0.01"
"2026-01-06T09:55:56.123Z","Included","gemini-3-flash-preview","No","0","79532","235890","4928","320350","0.07"
"2026-01-06T09:54:59.880Z","Included","gemini-3-flash-preview","No","0","5131","64046","79","69256","0.01"
"2026-01-06T09:51:36.335Z","Included","gemini-3-flash-preview","No","0","43412","188445","1861","233718","0.04"
"2026-01-06T09:49:53.701Z","Included","gemini-3-flash-preview","No","0","55142","322171","7255","384568","0.07"
"2026-01-06T09:45:59.033Z","Included","gemini-3-flash","No","0","64878","230660","10330","305868","0.07"
"2026-01-06T09:22:27.863Z","Included","gemini-3-flash-preview","No","0","13162","129732","412","143306","0.01"
"2026-01-06T09:17:15.949Z","Included","gemini-3-flash-preview","No","0","68044","388688","2107","458839","0.06"
"2026-01-06T09:17:14.120Z","Included","gemini-3-flash-preview","No","0","119415","138288","272","257975","0.07"
"2026-01-06T09:12:38.698Z","Included","gemini-3-flash-preview","No","0","73962","43520","2118","119600","0.05"
"2026-01-06T09:07:25.512Z","Included","gemini-3-flash-preview","No","0","460319","5756206","19097","6235622","0.58"
"2026-01-06T09:06:57.831Z","Included","gemini-3-flash-preview","No","0","33603","3947","1240","38790","0.02"
"2026-01-06T09:06:31.207Z","Included","gemini-3-flash","No","0","30988","81956","2356","115300","0.03"
"2026-01-06T09:05:41.491Z","Included","gemini-3-flash","No","0","48159","72441","4519","125119","0.04"
"2026-01-06T09:05:03.456Z","Included","gemini-3-flash-preview","No","0","11790","88280","609","100679","0.01"
"2026-01-06T09:03:17.958Z","Included","gemini-3-flash-preview","No","0","56871","390225","5444","452540","0.06"
"2026-01-06T09:03:08.680Z","Included","gemini-3-flash-preview","No","0","42236","14651","1470","58357","0.03"
"2026-01-06T09:01:16.389Z","Included","gemini-3-flash-preview","No","0","65852","864399","4677","934928","0.09"
"2026-01-06T08:59:41.566Z","Included","gemini-3-flash-preview","No","0","33362","3842","1243","38447","0.02"
"2026-01-06T08:58:26.539Z","Included","gemini-3-flash-preview","No","0","51129","161107","5157","217393","0.05"
"2026-01-06T08:58:26.370Z","Included","gemini-3-flash","No","0","251098","3512559","21902","3785559","0.37"
"2026-01-06T08:57:32.820Z","Included","gemini-3-flash","No","0","40035","167631","1725","209391","0.03"
"2026-01-06T08:56:36.054Z","Included","gemini-3-flash","No","0","39614","181680","4371","225665","0.04"
"2026-01-06T08:55:17.733Z","Included","gemini-3-flash-preview","No","0","89628","918283","11708","1019619","0.13"
"2026-01-06T08:54:44.899Z","Included","gemini-3-flash","No","0","71629","495622","6872","574123","0.08"
"2026-01-06T08:54:04.375Z","Included","gemini-3-flash-preview","No","0","342084","2849054","4881","3196019","0.33"
"2026-01-06T08:53:39.113Z","Included","gemini-3-flash","No","0","65892","146269","3995","216156","0.05"
"2026-01-06T08:52:08.605Z","Included","gemini-3-flash-preview","No","0","41948","1135183","2723","1179854","0.09"
"2026-01-06T08:51:58.905Z","Included","gemini-3-flash-preview","No","0","81626","1264992","7480","1354098","0.13"
"2026-01-06T08:50:44.704Z","Included","gemini-3-flash-preview","No","0","21921","174867","274","197062","0.02"
"2026-01-06T08:49:33.251Z","Included","gemini-3-flash-preview","No","0","45226","496588","4039","545853","0.06"
"2026-01-06T08:47:46.723Z","Included","gemini-3-flash-preview","No","0","150533","567549","11303","729385","0.14"
"2026-01-06T08:46:56.913Z","Included","gemini-3-flash-preview","No","0","65048","155548","3577","224173","0.05"
"2026-01-06T08:46:21.969Z","Included","gemini-3-flash-preview","No","0","3384","59025","760","63169","0.01"
"2026-01-06T08:46:07.015Z","Included","gemini-3-flash-preview","No","0","57613","3933","1834","63380","0.03"
"2026-01-06T08:43:43.705Z","Included","gemini-3-flash-preview","No","0","140515","1156318","6998","1303831","0.15"
"2026-01-06T08:42:47.084Z","Included","gemini-3-flash-preview","No","0","50006","136875","2651","189532","0.04"
"2026-01-06T08:39:42.490Z","Included","gemini-3-flash-preview","No","0","93238","701954","5922","801114","0.10"
"2026-01-06T08:38:47.195Z","Included","gemini-3-flash","No","0","140281","1622919","17441","1780641","0.20"
"2026-01-06T08:38:36.510Z","Included","gemini-3-flash-preview","No","0","68438","159253","3119","230810","0.05"
"2026-01-06T08:38:18.791Z","Included","gemini-3-flash-preview","No","0","28585","109677","200","138462","0.02"
"2026-01-06T08:37:52.738Z","Included","gemini-3-flash","No","0","26524","110042","4832","141398","0.03"
"2026-01-06T08:36:09.220Z","Included","gemini-3-flash","No","0","67898","319842","7208","394948","0.07"
"2026-01-06T08:35:54.902Z","Included","gemini-3-flash-preview","No","0","104490","1353321","4288","1462099","0.13"
"2026-01-06T07:49:49.630Z","Included","gemini-3-flash","No","0","102727","855659","11107","969493","0.13"
"2026-01-06T00:24:23.037Z","Included","gemini-3-flash","No","0","4203","6750","1899","12852","0.01"
"2026-01-06T00:23:46.401Z","Included","gemini-3-flash","No","0","6895","16268","5128","28291","0.02"
"2026-01-06T00:23:22.590Z","Included","gemini-3-flash","No","0","11082","0","3471","14553","0.02"
"2026-01-06T00:23:09.792Z","Included","gemini-3-flash","No","0","10327","0","1514","11841","0.01"
"2026-01-06T00:22:48.936Z","Included","gemini-3-flash","No","0","4323","6764","2746","13833","0.01"
"2026-01-06T00:22:20.866Z","Included","gemini-3-flash","No","0","4341","6767","4120","15228","0.01"
"2026-01-06T00:22:04.903Z","Included","gemini-3-flash","No","0","4161","6745","2231","13137","0.01"
"2026-01-06T00:21:48.506Z","Included","gemini-3-flash","No","0","4491","6784","2343","13618","0.01"
"2026-01-06T00:21:24.958Z","Included","gemini-3-flash","No","0","4257","6757","3357","14371","0.01"
"2026-01-06T00:21:10.843Z","Included","gemini-3-flash","No","0","11044","0","2032","13076","0.01"
"2026-01-06T00:20:51.799Z","Included","gemini-3-flash","No","0","11120","0","2967","14087","0.01"
"2026-01-06T00:20:27.188Z","Included","gemini-3-flash","No","0","3490","6657","4010","14157","0.01"
"2026-01-06T00:20:05.823Z","Included","gemini-3-flash","No","0","4255","6756","3054","14065","0.01"
"2026-01-06T00:19:45.152Z","Included","gemini-3-flash","No","0","4244","6755","3008","14007","0.01"
"2026-01-06T00:19:17.786Z","Included","gemini-3-flash","No","0","3912","6713","4167","14792","0.01"
"2026-01-06T00:18:54.461Z","Included","gemini-3-flash","No","0","4384","6772","3522","14678","0.01"
"2026-01-06T00:18:26.658Z","Included","gemini-3-flash","No","0","10323","0","4763","15086","0.02"
"2026-01-06T00:18:08.530Z","Included","gemini-3-flash","No","0","11166","0","2756","13922","0.01"
"2026-01-06T00:17:36.356Z","Included","gemini-3-flash","No","0","4668","6804","5576","17048","0.02"
"2026-01-06T00:17:09.151Z","Included","gemini-3-flash","No","0","4447","6779","3017","14243","0.01"
"2026-01-06T00:16:46.062Z","Included","gemini-3-flash","No","0","10779","0","3465","14244","0.02"
"2026-01-06T00:16:03.547Z","Included","gemini-3-flash","No","0","3996","6724","6974","17694","0.02"
"2026-01-06T00:15:42.773Z","Included","gemini-3-flash","No","0","10901","0","2895","13796","0.01"
"2026-01-06T00:15:12.036Z","Included","gemini-3-flash","No","0","4062","6732","4727","15521","0.02"
"2026-01-06T00:15:05.259Z","Included","gemini-3-flash","No","0","10396","0","595","10991","0.01"
"2026-01-06T00:14:35.644Z","Included","gemini-3-flash","No","0","10737","0","4686","15423","0.02"
"2026-01-06T00:14:03.112Z","Included","gemini-3-flash","No","0","11159","0","5034","16193","0.02"
"2026-01-06T00:11:42.472Z","Included","gemini-3-flash-preview","No","0","38089","36352","284","74725","0.02"
"2026-01-06T00:11:26.686Z","Included","gemini-3-flash-preview","No","0","37660","72743","339","110742","0.02"
"2026-01-06T00:11:08.464Z","Included","gemini-3-flash-preview","No","0","17900","70045","213","88158","0.01"
"2026-01-06T00:10:50.755Z","Included","gemini-3-flash-preview","No","0","20297","54184","660","75141","0.01"
"2026-01-06T00:09:56.959Z","Included","gemini-3-flash-preview","No","0","84281","116167","3394","203842","0.06"
"2026-01-06T00:09:42.940Z","Included","gemini-3-flash-preview","No","0","11994","239192","282","251468","0.02"
"2026-01-06T00:09:04.187Z","Included","gemini-3-flash-preview","No","0","17193","475433","2475","495101","0.04"
"2026-01-06T00:08:45.307Z","Included","gemini-3-flash-preview","No","0","81705","187199","1590","270494","0.05"
"2026-01-06T00:08:10.934Z","Included","gemini-3-flash-preview","No","0","79050","0","2871","81921","0.05"
